latitude,longitude,name,desc,color,source,precision
44.4722366,-88.0866928,"2941 S Ridge Rd, Green Bay, WI, 54304,","2941 S Ridge Rd, Green Bay, WI 54304",,Bing Maps,address
49.80591,9.95799,"Insitut fur Rontgendiagnostik, Universitatsklinikum Wurzburg, Oberdurrbacher Str 6, Wuerzburg, Germany, 97080,","Oberdürrbacher Straße 6, 97080 Würzburg, Germany",,Bing Maps,address
43.059272,-89.401512,"700 S Park St, Madison, WI, 53715,","700 S Park St, Madison, WI 53715",,Bing Maps,address
43.059272,-89.401512,"700 S Park St, Madison, WI, 53715,","700 S Park St, Madison, WI 53715",,Bing Maps,address
43.6124039,-116.1925888,"190 E Bannock St., Boise, ID, 83712,","190 E Bannock St, Boise, ID 83712",,Bing Maps,address
31.334877,-89.3674545,"5000 West 4th St, Hattiesburg, MS, 39402,","5000 W 4th St, Hattiesburg, MS 39402",,Bing Maps,address
45.8896027,-89.7113266,"9601 Townline Rd., Minocqua, WI, 54548,","9601 Townline Rd, Minocqua, WI 54548",,Bing Maps,address
36.0976295,-94.1581573,"55 Sunbridge, Fayetteville, AR, 72703,","55 W Sunbridge Dr, Fayetteville, AR 72703",,Bing Maps,address
42.9595048,-87.990375,"6150 West Layton Avenue, Greenfield, WI, 53220,","6150 W Layton Ave, Greenfield, WI 53220",,Bing Maps,address
40.7323532,-89.5947495,"114 West Stratford, Peoria, IL, 61614,","114 W Stratford Dr, Peoria, IL 61614",,Bing Maps,address
43.2574962,-87.9242163,"13111 N Port Washington Rd, Mequon, WI, 53097,","13111 N Port Washington Rd, Mequon, WI 53097",,Bing Maps,address
35.0935707,-106.5559998,"8020 Constitution Pl NE, Albuquerque, NM, 87110,","8020 Constitution Pl NE, Albuquerque, NM 87110",,Bing Maps,address
41.7638605,-72.6588039,"111 Founders Plz , East Hartford, CT, 06108,","111 Founders Plaza, East Hartford, CT 06108",,Bing Maps,address
43.0386734,-88.0264893,"9200 W Wisconsin Ave, Milwaukee, WI, 53226,","9200 W Wisconsin Ave, Milwaukee, WI 53226",,Bing Maps,address
42.9392242,-85.5214691,"1342 Glen Ellyn Dr. SE, Grand Rapids, MI, 49546,","1342 Glen Ellyn Dr SE, Grand Rapids, MI 49546",,Bing Maps,address
40.7323532,-89.5947495,"114 W Stratford Dr, Peoria, IL, 61614,","114 W Stratford Dr, Peoria, IL 61614",,Bing Maps,address
43.059272,-89.401512,"700 S Park St, Madison, WI, 53715,","700 S Park St, Madison, WI 53715",,Bing Maps,address
42.2551193,-70.924408,"73 Broad Reach T42, Weymouth, MA, 02191,","73 Broad Reach, Weymouth, MA 02191",,Bing Maps,address
41.2529144,-96.1743546,"16626 Jackson St., Omaha, NE, 68118,","16626 Jackson St, Omaha, NE 68118",,Bing Maps,address
48.1925163,-114.3086853,"640 2nd Ave E, Kalispell, MT, 59901,","640 2nd Ave E, Kalispell, MT 59901",,Bing Maps,address
29.5810795,-98.5054855,"15 Greens Shade, San Antonio, TX, 78216,","15 Greens Shade, San Antonio, TX 78216",,Bing Maps,address
32.7847508,-79.9485826,"96 Jonathan Lucas St. , Charleston, SC, 29425,","96 Jonathan Lucas St, Charleston, SC 29425",,Bing Maps,address
42.9757603,-89.5327364,"109 Faircrest Court, Verona, WI, 53593,","109 Faircrest Ct, Verona, WI 53593",,Bing Maps,address
42.3483658,-71.0976944,"645 Beacon St., Boston, MA, 02215,","645 Beacon St, Boston, MA 02215",,Bing Maps,address
41.546379,-93.759918,"1608 S. 42nd Street, West Des Moines, IA, 50265 ,","1608 S 42nd St, West Des Moines, IA 50265",,Bing Maps,address
41.25785,-96.04177,"8303 Dodge St, Omaha, NE, 68114,","8303 Dodge St, Omaha, NE 68114",,Bing Maps,address
40.0070419,-79.0774918,"225 South Center Avenue, Somerset, PA, 15501,","225 S Center Ave, Somerset, PA 15501",,Bing Maps,address
38.1450436,-85.5878862,"9344 Cedar Center Way, Louisville, KY, 40291,","9344 Cedar Center Way, Louisville, KY 40291",,Bing Maps,address
37.1214333,-93.3122253,"1314 Stone Meadow Way West, Springfield, MO, 65810,","1314 W Stone Meadow Way, Springfield, MO 65810",,Bing Maps,address
39.1366824,-84.5012375,"234 Goodman St, Cincinnati, OH, 45267,","234 Goodman St, Cincinnati, OH 45219",,Bing Maps,address
41.1544298,-81.3333656,"1675 E Main St, Kent, OH, 44240,","1675 E Main St, Kent, OH 44240",,Bing Maps,address
42.6533127,-73.7761307,"47 New Scotland Ave, Albany, NY, 12208,","47 New Scotland Ave, Albany, NY 12208",,Bing Maps,address
43.5338593,-96.7150497,"1325 S Cliff Ave, Sioux Falls, SD, 57105,","1325 S Cliff Ave, Sioux Falls, SD 57105",,Bing Maps,address
42.8236084,-106.3071976,"2435 Fairdale Avenue, Casper, WY, 82601,","2435 S Fairdale Ave, Casper, WY 82601",,Bing Maps,address
43.0828018,-89.522934,"1221 John Q Hammons Dr, Madison, WI, 53717,","1221 John Q Hammons Dr, Madison, WI 53717",,Bing Maps,address
44.8911855,-89.5815848,"3301 CRANBERRY BLVD, Weston, WI, 54476,","3301 Cranberry Blvd, Weston, Village of, WI 54476",,Bing Maps,address
43.2574962,-87.9242163,"13111 N Port Washington Road, Mequon, WI, 53097,","13111 N Port Washington Rd, Mequon, WI 53097",,Bing Maps,address
44.4722366,-88.0866928,"2941 S Ridge Rd, Green Bay, WI, 54304,","2941 S Ridge Rd, Green Bay, WI 54304",,Bing Maps,address
43.076085,-89.4290999,"600 Highland Ave, Madison, WI, 53792,","600 Highland Ave, Madison, WI 53705",,Bing Maps,address
29.6415482,-82.3484421,"1600 SW Archer Rd, Gainesville, FL, 32610,","1600 SW Archer Rd, Gainesville, FL 32608",,Bing Maps,address
44.0221291,-92.466629,"200 1st St SW, Rochester, MN, 55905,","200 1st St SW, Rochester, MN 55902",,Bing Maps,address
43.0740395,-89.3785706,"137 E Wilson St , Madison, WI, 53703,","137 E Wilson St, Madison, WI 53703",,Bing Maps,address
38.6361802,-90.2660832,"510 S Kingshighway Blvd, Saint Louis, MO, 63110,","510 S Kingshighway Blvd, St Louis, MO 63110",,Bing Maps,address
39.7775383,-86.1638184,"714 N. Senate Ave, Indianapolis, IN, 46202,","714 N Senate Ave, Indianapolis, IN 46202",,Bing Maps,address
43.0823815,-88.2073543,"N34W23137 Circle Ridge Rd , Pewaukee, WI, 53072,","N34W23137 Circle Ridge Rd, Pewaukee, WI 53072",,Bing Maps,address
26.5548592,-81.9002304,"8791 Conference Dr, Fort Meyers, FL, 33919,","8791 Conference Dr, Fort Myers, FL 33919",,Bing Maps,address
41.5751762,-90.4501801,"5252 School House Road, Bettendorff, IA, 52722,","5252 School House Rd, Bettendorf, IA 52722",,Bing Maps,address
42.6868106,-89.0325084,"1000 Mineral Point Ave, Janesville, WI, 53548,","1000 Mineral Point Ave, Janesville, WI 53548",,Bing Maps,address
33.4330018,-86.8140171,"819 Woodmere Creek Loop, Birmingham, AL, 35226,","819 Woodmere Creek Loop, Birmingham, AL 35226",,Bing Maps,address
33.7912025,-84.2831039,"2675 North Decatur Road, Decatur, GA, 30033,","2675 N Decatur Rd, Decatur, GA 30033",,Bing Maps,address
40.7697487,-89.6866913,"5916 W. Ivyleaf Ct., Peoria, IL, 61615,","5916 W Ivyleaf Ct, Peoria, IL 61615",,Bing Maps,address
40.0942192,-88.3164749,"1804 Kensington Knoll Dr, Champaign, IL, 61821,","1804 Kensington Knoll Dr, Champaign, IL 61822",,Bing Maps,address
43.076085,-89.4290999,"600 Highland Ave, Madison, WI, 53792,","600 Highland Ave, Madison, WI 53705",,Bing Maps,address
39.0561523,-94.6106262,"3901 Rainbow Blvd, Kansas City, KS, 66160,","3901 Rainbow Blvd, Kansas City, KS 66103",,Bing Maps,address
45.4988098,-122.6856537,"3181 SW Sam Jackson Park Rd, Portland, OR, 97239,","3181 SW Sam Jackson Park Rd, Portland, OR 97239",,Bing Maps,address
,,"1403 29th Street, NW, Calgary, AB T2N 2T9, Canada, 49525,",-,,Bing Maps,
45.0507917,-92.8583933,"518 Liberty Parkway, Stillwater, MN, 55082,","518 Liberty Pkwy, Stillwater, MN 55082",,Bing Maps,address
53.8662682,10.6808796,", Lübeck, Schleswig-Holstein, , Germany","Lübeck, SH, Germany",,Bing Maps,city/town
44.6417885,-89.7367401,"3030 S. Central St, Olympia, WI, 98501,",Wisconsin,,Bing Maps,state/province
43.076085,-89.4290999,"600 Highland Ave, Madison, WI, ,","600 Highland Ave, Madison, WI 53705",,Bing Maps,address
41.8944054,-87.6231308,"676 N Saint Clair, Chicago, IL, 60611,","676 N Saint Clair St, Chicago, IL 60611",,Bing Maps,address
41.8971481,-87.7893906,"622 N. East Ave, Oak Park, IL, 60302,","622 East Ave N, Oak Park, IL 60302",,Bing Maps,address
38.6094971,-90.2991028,"6522 Odell St, St. Louis, MO, 63139,","6522 Odell St, St Louis, MO 63139",,Bing Maps,address
40.5116768,-105.0635986,"815 Southridge Greens Blvd., Fort Collins, CO, 80525,","815 Southridge Greens Blvd, Fort Collins, CO 80525",,Bing Maps,address
31.0840549,-97.3603058,"2401 S 31st St, Temple, TX, 76508,","2401 S 31st St, Temple, TX 76504",,Bing Maps,address
44.9472961,-93.0881424,"166 4th St. E, St Paul, MN, 55101,","166 4th St E, St Paul, MN 55101",,Bing Maps,address
26.3449841,-80.0718231,"500 South Ocean Blvd, Boca Raton, FL, 33432,","500 S Ocean Blvd, Boca Raton, FL 33432",,Bing Maps,address
35.9316483,-84.1121216,"815 Ethan’s Glen Dr., Knoxville, TN, 37923,","815 Ethans Glen Dr, Knoxville, TN 37923",,Bing Maps,address
40.725856,-73.980331,"131 Ave B , New York, NY, 10009,","131 Avenue B, New York, NY 10009",,Bing Maps,address
40.7022429,-89.5909095,"530 NE Glen Oak Ave, Peoria, IL, 61637,","530 NE Glen Oak Ave, Peoria, IL 61603",,Bing Maps,address
44.6785164,-90.177948,"1000 N. Oak Ave, Marshfield, WI, 54449,","1000 N Oak Ave, Marshfield, WI 54449",,Bing Maps,address
32.7993507,-117.1182865,"2725 West Canyon Ave , San Diego, CA, 92123,","2725 W Canyon Ave, San Diego, CA 92123",,Bing Maps,address
43.5564264,-89.4680724,"2187 New Pinery Rd, Portage, WI, 53901,","2187 New Pinery Rd, Portage, WI 53901",,Bing Maps,address
44.4722366,-88.0866928,"2941 South Ridge Rd, Green Bay, WI, 54304,","2941 S Ridge Rd, Green Bay, WI 54304",,Bing Maps,address
44.4722366,-88.0866928,"2941 South Ridge Rd, Green Bay, WI, 54304,","2941 S Ridge Rd, Green Bay, WI 54304",,Bing Maps,address
45.5935353,-94.2015302,"1990 Connecticut Ave S, Sartell, MN, 56377,","1990 Connecticut Ave S, Sartell, MN 56377",,Bing Maps,address
35.0959587,-106.5949707,"4501 Altura Place NE, Albuquerque, NM, 87110,","4501 Altura Pl NE, Albuquerque, NM 87110",,Bing Maps,address
45.141376,-89.649772,"W4397 Eagle Ridge Ln, Merrill, WI, 54452,","W4397 Eagle Ridge Ln, Merrill, WI 54452",,Bing Maps,address
41.257198,-95.999061,"5510 Harney St., Omaha, NE, 68132,","5510 Harney St, Omaha, NE 68132",,Bing Maps,address
45.134594,-93.274437,"8990 Springbrook Dr NW, Coon Rapids, MN, 55433,","8990 Springbrook Dr NW, Coon Rapids, MN 55433",,Bing Maps,address
34.202549,-77.8294144,"2814 Shandy Ave, Wilmington, NC, 28403,","2814 Shandy Ave, Wilmington, NC 28409",,Bing Maps,address
42.4792213,-83.2153625,"17270 Adrian Rd, Southfield, MI, 48075,","17270 Adrian Rd, Southfield, MI 48075",,Bing Maps,address
38.682292,-90.4051242,"10325 Oxford Hill Dr. , St. Louis, MO, 63146,","10325 Oxford Hill Dr, St Louis, MO 63146",,Bing Maps,address
37.9403305,-87.3715515,"6488 Pebble Point Ct., Newburgh, IN, 47630,","6488 Pebble Point Ct, Newburgh, IN 47630",,Bing Maps,address
39.1471214,-84.4297485,"3827 Paxton Ave, Cincinnati, OH, 45209,","3827 Paxton Ave, Cincinnati, OH 45209",,Bing Maps,address
33.3663788,-111.7926483,"130 W. Guadalupe, Gilbert, AZ, 85233,","130 W Guadalupe Rd, Gilbert, AZ 85233",,Bing Maps,address
38.9212074,-120.0055618,"875 South Shore Drive, South Lake Tahoe, CA, 96150,","875 S Shore Dr, Bijou, CA 96150",,Bing Maps,address
32.75,-97.1160431,"800 W Randol Mill Rd, Arlington, TX, 76012,","800 W Randol Mill Rd, Arlington, TX 76012",,Bing Maps,address
48.8215027,-122.4240952,"4975 E. 12th Drive, Bellingham, WA, 98226,","4975 E 12th Dr, Bellingham, WA 98226",,Bing Maps,address
39.2715874,-76.6731033,"900 CATON AVE, BALTIMORE, MD, 21229,","900 S Caton Ave, Baltimore, MD 21229",,Bing Maps,address
42.6529503,-73.7758255,"43 New Scotland Avenue, Albany, NY, 12208,","43 New Scotland Ave, Albany, NY 12208",,Bing Maps,address
44.9547005,-93.4269028,"11571 Cedar Pass, Minnetonka, MN, 55305,","11571 Cedar Pass, Minnetonka, MN 55305",,Bing Maps,address
44.9658966,-89.668335,"333 Pine Ridge Blvd, Wausau, WI, 54401,","333 Pine Ridge Blvd, Wausau, WI 54401",,Bing Maps,address
43.0899925,-87.8751068,"4031 N. Lake Dr, Shorewood, WI, 53211,","4031 N Lake Dr, Milwaukee, WI 53211",,Bing Maps,address
41.2763764,-72.5157925,"2 College St, Clinton, CT, 06413,","2 College St, Clinton, CT 06413",,Bing Maps,address
35.6851578,-105.9317017,"351 E. Alameda St., Santa Fe, NM, 87501,","351 E Alameda St, Santa Fe, NM 87501",,Bing Maps,address
43.060928,-88.043212,"10400 W North Ave , Milwaukee, WI, 53226,","10400 W North Ave, Milwaukee, WI 53226",,Bing Maps,address
40.7729854,-111.8369103,"50 N. Medical Dr, Salt Lake City, UT, 84132,","50 Medical Dr N, Salt Lake City, UT 84132",,Bing Maps,address
27.9388103,-82.4658432,"12902 Magnolia Drive, Tampa, FL, 33612,","S Magnolia Ave, Tampa, FL 33606",,Bing Maps,street
59.8978,10.7912199,"Draaga 3, Oslo , Norway, ,","Dråga 3, 1182 Oslo, Norway",,Bing Maps,address
39.0225983,-94.6338043,"4200 W. 59th St, Kansas City, KS, 66205,","4200 W 59th St, Mission, KS 66205",,Bing Maps,address
45.175567,-89.681762,"601 S Center Ave, Merrill, WI, 54452,","601 S Center Ave, Merrill, WI 54452",,Bing Maps,address
40.6090012,-89.4547424,"215 Rassi Avenue, Morton, IL, 61550,","215 Rassi Ave, Morton, IL 61550",,Bing Maps,address
47.8175037,-122.2074126,"19911 Bothell-Everett Hwy, Bothell, WA, 98012,","19911 Bothell Everett Hwy, Bothell, WA 98012",,Bing Maps,address
42.4199257,-83.1821823,"6071 W Outer Dr , Detroit, MI, 48235,","6071 Outer Dr W, Detroit, MI 48235",,Bing Maps,address
45.5730286,-94.1688995,"1200 Sixth Avenue North, St. Cloud, MN, 56303,","1200 6th Ave N, St Cloud, MN 56303",,Bing Maps,address
42.1306419,-87.8135529,"1216 Caryn Terrace, Northbrook, IL, 60062,","1216 Caryn Terrace, Northbrook, IL 60062",,Bing Maps,address
39.6666603,-104.9673004,"2760 S. Gilpin St, Denver, CO, 80210,","2760 S Gilpin St, Denver, CO 80210",,Bing Maps,address
40.2754898,-76.6493835,"813 Linden Rd, Hershey, PA, 17033,","813 Linden Rd, Hershey, PA 17033",,Bing Maps,address
43.0525208,-87.9938126,"6567 Washington Circle, Wauwatosa, WI, 53526,","6567 Washington Circle, Wauwatosa, WI 53213",,Bing Maps,address
44.8244514,-85.656105,"10472 Monaco Way, Traverse City, MI, 49684,","10472 S Monaco Way, Traverse City, MI 49684",,Bing Maps,address
29.6014233,-98.5164719,"1730 Fawn Bluff, San Antonio, TX, 78248,","1730 Fawn Bluff, San Antonio, TX 78248",,Bing Maps,address
36.2816467,139.0772705,", Kamogawa City, , , Japan",Japan,,Bing Maps,country
41.667098,-91.590843,"28 Burr Oak Court, Iowa City, IA, 52246,","28 Burr Oak Ct, Iowa City, IA 52246",,Bing Maps,address
37.5150185,127.0164719,", Seoul, , , Korea","Seoul, South Korea",,Bing Maps,city/town
47.5927849,-117.419632,"6702 S. Shelby Ridge, Spokane, WA, 99224,","6702 S Shelby Ridge St, Spokane, WA 99224",,Bing Maps,address
44.76588,-91.308746,"E11070 Deer Rd W, Fall Creek, WI, 54742,","E11070 Deer Rd W, Fall Creek, Village of, WI 54742",,Bing Maps,address
43.065104,-89.415066,"P.O. Box 44428, Madison, WI, 53744,","Madison St, Madison, WI 53711",,Bing Maps,street
43.065104,-89.415066,"P.O. Box 44428, Madison, WI, 53744,","Madison St, Madison, WI 53711",,Bing Maps,street
39.0741997,-84.3897324,"6194 Autumn Leaf Lane, Cincinnati, OH, 45230,","6194 Autumn Leaf Ln, Cincinnati, OH 45230",,Bing Maps,address
48.1390991,11.5144997,", Munich, , , Germany","Munich, BY, Germany",,Bing Maps,city/town
44.840839,-93.466278,"14941 Camdon Hill, Eden Prairie, MN, 55347,","14941 Camdon Hill, Eden Prairie, MN 55347",,Bing Maps,address
43.1917038,-89.2669296,"3474 Swansee Ridge, Sun Prairie, WI, 53593,","3474 Swansee Ridge, Sun Prairie, WI 53590",,Bing Maps,address
37.5291367,-77.4163361,"2808 E. Grace St, Richmond, VA, 23223,","2808 E Grace St, Richmond, VA 23223",,Bing Maps,address
54.08816,13.40253,"Fleischmannstraße 8, 17475 Greifswald, , , Germany","Fleischmannstraße 8, 17489 Greifswald, Germany",,Bing Maps,address
27.944217,-82.457733,"100 South Ashley Drive, Tampa, FL, 33602,","100 S Ashley Dr, Tampa, FL 33602",,Bing Maps,address
39.775309,-86.1755843,"550 N. University Blvd, Indianapolis, IN, 46202,","550 N University Blvd, Indianapolis, IN 46202",,Bing Maps,address
41.8511314,-87.8736343,"1946 Portsmouth Ave, Westchester, IL, 60154,","1946 Portsmouth Ave, Westchester, IL 60154",,Bing Maps,address
41.7585487,-86.1493378,"50619 Lakeside Drive, Granger, IN, 46530,","50619 Lakeside Dr, Granger, IN 46530",,Bing Maps,address
44.9380913,-93.30056,"3547 Humboldt Ave S, Minneapolis, MN, 55408,","3547 S Humboldt Ave, Minneapolis, MN 55408",,Bing Maps,address
42.6868106,-89.0325084,"1000 Mineral Point Ave., Janesville, WI, 53548,","1000 Mineral Point Ave, Janesville, WI 53548",,Bing Maps,address
34.4221611,-119.6465607,"1155 Oriole Rd, Santa Barbara, CA, 93108,","1155 Oriole Rd, Santa Barbara, CA 93108",,Bing Maps,address
38.3670273,-83.1033554,"2299 Carter Caves Road, Olive Hill, KY, 41164,","2299 Carter Caves Rd, Olive Hill, KY 41164",,Bing Maps,address
44.9472961,-93.0881424,"166 4th St. East, St Paul, MN, 55101,","166 4th St E, St Paul, MN 55101",,Bing Maps,address
43.0573044,-89.4657898,"476 Rushmore Lane, Madison, WI, 53711,","476 Rushmore Ln, Madison, WI 53711",,Bing Maps,address
38.4124672,-82.4411206,"918 Tenth Ave, Huntington, WV, 25701,","918 10th Ave, Huntington, WV 25701",,Bing Maps,address
42.944438,-85.629005,"1617 Alexander St., East Grand Rapids, MI, 49506,","1617 Alexander St SE, East Grand Rapids, MI 49506",,Bing Maps,address
41.7228889,-87.6917496,"2800 W 95th St., Evergreen Park, IL, 60805,","2800 W 95th St, Evergreen Park, IL 60805",,Bing Maps,address
32.3073158,-110.8425293,"7050 East Sunrise Dr, Tucson, AZ, 85750,","7050 E Sunrise Dr, Tucson, AZ 85750",,Bing Maps,address
42.9219093,-87.9854202,"6756 Harvard Drive, Franklin, WI, 53132,","6756 S Harvard Dr, Franklin, WI 53132",,Bing Maps,address
43.0613136,-89.4391403,"334 Glenway Street, Madison, WI, 53705,","334 Glenway St, Madison, WI 53705",,Bing Maps,address
47.6519051,-117.4232941,"800 W. 5th Ave, Spokane, WA, 99204,","800 W 5th Ave, Spokane, WA 99204",,Bing Maps,address
43.059272,-89.401512,"700 S Park St, Madison, WI, 53715,","700 S Park St, Madison, WI 53715",,Bing Maps,address
43.0994873,-87.9119492,"400 W River Woods Pkwy, Glendale, WI, 53212,","400 W River Woods Pkwy, Glendale, WI 53212",,Bing Maps,address
39.2986838,-76.5922426,"720 Rutland Avenue, Baltimore, MD, 21205,","720 Rutland Ave, Baltimore, MD 21205",,Bing Maps,address
43.0703163,-89.4316788,"214 Grand Ave, Madison, WI, 53705,","214 Grand Ave, Madison, WI 53705",,Bing Maps,address
43.0087837,-89.4010319,"5241 Teaberry Lane, Madison, WI, 53711,","5241 Teaberry Ln, Madison, WI 53711",,Bing Maps,address
30.3962784,-97.7591248,"5309 Musket Ridge, Austin, TX, 78759,","5309 Musket Ridge, Austin, TX 78759",,Bing Maps,address
43.0802803,-89.4778748,"1206 Temkin Avenue, Madison, WI, 53705,","1206 Temkin Ave, Madison, WI 53705",,Bing Maps,address
46.8159409,-96.8247147,"4042 Copperfield Ct, Fargo, ND, 58104,","4042 Copperfield Ct S, Fargo, ND 58104",,Bing Maps,address
43.0497513,-89.4423523,"726 Oneida Pl., Madison, WI, 53711,","726 Oneida Pl, Madison, WI 53711",,Bing Maps,address
43.21035,-88.0570831,"8915 W. Connell Ave., Milwaukee, WI, 53226,","O Connell Ln, Mequon, WI 53097",,Bing Maps,street
34.170993,-118.589744,"5601 De Soto Ave, Woodland Hills, CA, 91367,","5601 De Soto Ave, Los Angeles, CA 91367",,Bing Maps,address
43.1297264,-89.3821411,"1005 Woodward Dr, Madison, WI, 53704,","1005 Woodward Dr, Madison, WI 53704",,Bing Maps,address
37.075939,-113.55027,"1560 E 1850S, Saint George, UT, 84790,","1560 E 1850 S, St George, UT 84790",,Bing Maps,address
40.673087,-73.927944,", Rochester, NY, 98225,","Rochester Ave, Brooklyn, NY 11213",,Bing Maps,street
43.314579,-88.0353317,"W70-N435 Cedar Pointe Ave, Cedarburg, WI, 53012,","53012, WI",,Bing Maps,postcode
39.8074455,-89.704277,"605 N. Durkin Dr, Springfield, IL, 62702,","605 N Durkin Dr, Springfield, IL 62702",,Bing Maps,address
44.6713371,-90.1898346,"101 N Adams Avenue, Marshfield, WI, 54449,","101 N Adams Ave, Marshfield, WI 54449",,Bing Maps,address
35.047184,-85.2876282,"975 E. Third St, Chattanooga, TN, 37403,","975 E 3rd St, Chattanooga, TN 37403",,Bing Maps,address
44.9472961,-93.0881424,"166 4th St. East, St Paul, MN, 55101,","166 4th St E, St Paul, MN 55101",,Bing Maps,address
47.6487941,-117.4192672,"801 S Stevens St, Spokane, WA, 99204,","801 S Stevens St, Spokane, WA 99204",,Bing Maps,address
33.5847664,-111.7891312,"13400 E Shea Blvd, Scottsdale, AZ, 85259,","13400 E Shea Blvd, Scottsdale, AZ 85259",,Bing Maps,address
40.7668343,-89.6776657,"5412 W. Stonebridge Ct., Peoria, IL, 61615,","5412 W Stonebridge Ct, Peoria, IL 61615",,Bing Maps,address
38.282554,-85.747322,"1214 Spring St, Jeffersonville, IN, 47130,","1214 Spring St, Jeffersonville, IN 47130",,Bing Maps,address
41.7145494,-86.1684497,"5915 Mission Trail, Granger, IN, 46530,","5915 Mission Trail, Granger, IN 46530",,Bing Maps,address
44.8244514,-85.656105,"10472 Monaco Way, Traverse City, MI, 49684,","10472 S Monaco Way, Traverse City, MI 49684",,Bing Maps,address
39.2975345,-76.5908868,"600 N. Wolfe Street, Baltimore, MD, 21287,","600 N Wolfe St, Baltimore, MD 21205",,Bing Maps,address
43.1777153,-87.9144745,"500 W. Brown Deer Road, Bayside, WI, 53217,","500 W Brown Deer Rd, Bayside, Village of, WI 53217",,Bing Maps,address
47.5356331,-122.1776657,"7425 122nd Place SE, Newcastle, WA, 98056,","7425 122nd Pl SE, Newcastle, WA 98056",,Bing Maps,address
42.3359462,-71.1075349,"75 Francis St., Boston, MA, 02115,","75 Francis St, Boston, MA 02115",,Bing Maps,address
45.0643654,-93.5464783,"4720 Medina Lake Dr., Medina, MN, 55340,","4720 Medina Lake Dr, Medina, MN 55340",,Bing Maps,address
43.0365562,-88.0101013,"7753 Mary Ellen Pl, Wauwatosa, WI, 32176,","7753 Mary Ellen Pl, Wauwatosa, WI 53213",,Bing Maps,address
41.8944054,-87.6231308,"676 N Saint Clair St, Chicago, IL, 60611,","676 N St Clair St, Chicago, IL 60611",,Bing Maps,address
35.0831833,-106.4830475,"918 Piedra Vista N.E., Albuquerque, NM, 97173,","918 Piedra Vista Rd NE, Albuquerque, NM 87123",,Bing Maps,address
42.2606506,-87.8744736,"1120 Emmons Ct, Lake Forest, IL, 60045,","1120 Emmons Ct, Lake Forest, IL 60045",,Bing Maps,address
39.0315895,-94.629509,"5353 Neosho Lane, Fairway, KS, 66205,","5353 Neosho Ln, Fairway, KS 66205",,Bing Maps,address
